zone_code,stand_code,stand_name,rows,ic_votes,ad_votes,candidate_votes,ic_pct_candidate_votes,ad_pct_candidate_votes
01,01,USAQUÉN,62,3495,7131,10626,32.891,67.109
01,02,SERVITA,49,5144,6020,11164,46.0767,53.9233
01,03,CALAZANS,20,1609,3035,4644,34.6469,65.3531
01,04,COLEGIO AQUILEO PARRA SEDE BACHILLERATO,33,3703,4372,8075,45.8576,54.1424
01,05,LIJACA,24,2566,2827,5393,47.5802,52.4198
01,06,SAN ANTONIO UNIÓN COLOMBIA,24,2816,3283,6099,46.1715,53.8285
01,07,COLEGIO AGUSTIN FERNANDEZ SEDE A,27,2938,3389,6327,46.4359,53.5641
01,08,CENTRO COMERCIAL CEDRITOS 151,47,2529,8863,11392,22.1998,77.8002
01,09,UNIVERSIDAD EL BOSQUE,32,1461,5854,7315,19.9727,80.0273
01,10,SANTO TOMAS DE AQUINO,25,989,5119,6108,16.1919,83.8081
01,11,INSTITUTO PEDAGOGICO NACIONAL,29,1434,4998,6432,22.2948,77.7052
01,12,CENTRO COMERCIAL UNICENTRO,65,1917,13649,15566,12.3153,87.6847
01,13,PLAZA MEXICO,23,748,5153,5901,12.6758,87.3242
01,14,SANTA PAULA,20,625,4551,5176,12.075,87.925
01,15,CENTRO COMERCIAL HACIENDA SANTA BARBARA,27,1009,5637,6646,15.1821,84.8179
01,16,COLEGIO MONTERROSALES,6,703,574,1277,55.0509,44.9491
01,17,COLEGIO DISTRITAL TOBERIN SEDE A,25,2199,4194,6393,34.397,65.603
01,18,PARQUE CEDRITOS,22,1229,4342,5571,22.0607,77.9393
01,19,CEDRO GOLF,24,1567,4211,5778,27.1201,72.8799
01,20,BUENAVISTA,17,2471,1622,4093,60.3714,39.6286
01,21,CANAIMA,12,1040,1367,2407,43.2073,56.7927
01,22,ALESSANDRO VOLTA,24,1415,5084,6499,21.7726,78.2274
01,23,COLEGIO DISTRITAL USAQUEN SEDE A,31,1661,7194,8855,18.7578,81.2422
01,24,COLEGIO DISTRITAL CRISTOBAL COLON,12,1445,1510,2955,48.9002,51.0998
01,25,COLEGIO DISTRITAL DIVINO MAESTRO SEDE A,14,1776,1676,3452,51.4484,48.5516
01,26,COLEGIO DISTRITAL DIVINO MAESTRO SEDE B,15,2083,1623,3706,56.2062,43.7938
01,27,COLEGIO COLSUBSIDIO NORTE USAQUEN,24,1714,4697,6411,26.7353,73.2647
01,28,COLEGIO GENERAL SANTANDER USAQUEN,19,2360,2755,5115,46.1388,53.8612
01,29,"COLEGIO TOBERIN ""B""",12,1374,1636,3010,45.6478,54.3522
01,30,COLEGIO FRIEDRICH NAUMANN SEDE A,5,555,586,1141,48.6415,51.3585
01,31,COLEGIO FRIEDRICH NAUMANN SEDE B,5,732,197,929,78.7944,21.2056
01,32,VERBENAL SANTA MARIA,18,2433,2356,4789,50.8039,49.1961
01,33,COLEGIO DISTRITAL SALUDCOOP NORTE,16,2232,2138,4370,51.0755,48.9245
01,34,COLEGIO NUEVO HORIZONTE SEDE D TORCA,2,119,183,302,39.404,60.596
01,35,CARULLA 140,15,767,3171,3938,19.4769,80.5231
01,36,COLEGIO SAN FRANCISCO CL 186,13,1929,1474,3403,56.6853,43.3147
01,37,COLEGIO BUEN CONSEJO,17,723,4110,4833,14.9597,85.0403
01,38,UNIVERSIDAD MILITAR,15,746,3261,4007,18.6174,81.3826
01,39,COLEGIO LA ESTRELLITA,8,1423,749,2172,65.5157,34.4843
01,40,COLEGIO ESCLAVAS DEL SAGRADO CORAZON,12,1228,2275,3503,35.0557,64.9443
01,41,COLEGIO CARDENAL SANCHA,9,406,2156,2562,15.847,84.153
01,42,COLEGIO CAMPESTRE SAN JOSE,20,1164,4815,5979,19.4681,80.5319
01,43,COLEGIO PROVINMA,15,1075,3185,4260,25.2347,74.7653
01,44,COLEGIO EUCARISTICO VILLA GUADALUPE,10,1040,1775,2815,36.9449,63.0551
01,45,ANGLO AMERICANO,9,754,1533,2287,32.969,67.031
01,46,COLEGIO PUREZA DE MARIA,17,1145,3482,4627,24.7461,75.2539
01,47,CENTRO COMERCIAL BELAIRE PLAZA,11,1116,1850,2966,37.6264,62.3736
01,48,CENTRO COMERCIAL PALATINO,20,1213,4059,5272,23.0083,76.9917
01,49,FUNDACION ANA RESTREPO DEL CORRAL,2,254,227,481,52.8067,47.1933
01,50,SALON COMUNAL TIBABITA,3,439,320,759,57.8393,42.1607
01,51,I E AQUILEO PARRA SEDE PRIMARIA,5,548,651,1199,45.7048,54.2952
01,52,COLEGIO MAYOR JOSE CELESTINO MUTIS,6,917,856,1773,51.7202,48.2798
01,53,COLEGIO MARIA AUXILIADORA NORTE,9,878,1471,2349,37.3776,62.6224
01,54,SALON COMUNAL SAN CRISTOBAL NORTE,4,531,376,907,58.5447,41.4553
